	Gene_0	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49
Cell_69	0.01660246543	-0.002091356032	0.0004427146644	-1.251294875e-05	-5.574091709e-05	-3.998136251e-05	-0.00356643587	1.601773793	0.0003720219864	-0.0001358293678	0.03167014004	8.479234216e-05	0.001404410554	4.361561221e-05	0.0001479859646	2.727691435e-05	-0.0002001128451	-5.385649463e-05	1.455332509e-05	1.341756239	-0.0003259696135	-0.001252035136	0.02504628911	-0.0001598067269	-0.001843209613	-0.0007594709752	-0.02097542216	0.0002910453033	0.0006506905568	-3.517572176e-05	0.0001642702423	-0.001415197332	-0.04434265716	-0.0006429183136	-0.003202387428	-0.009580414027	-2.316507253e-05	-0.041977066	0.0008635183628	0.0003037766259	-2.528414589e-05	0.0002343623689	-4.777781175e-05	-8.476624482e-05	-7.840098178e-05	0.0001494631288	1.347199585e-05	4.591444262e-05	0.002428605198	-2.972274708e-05
Cell_70	-0.01602580263	-0.01040850866	-0.05630989812	0.05077814393	0.000117156542	9.594236409e-05	-0.03747110455	-0.01636666297	0.05370856335	-0.05003534132	-0.04305820012	-0.510192942	0.192859468	0.0001127101216	0.07186398084	-5.267145092e-05	-0.006442379238	0.04878559027	0.03562164655	-1.721465289e-06	0.8743360256	-0.001602349825	0.005452090284	-0.0001192281604	0.00195902294	-0.3034454955	0.02880751948	-0.4163846531	0.07925953491	0.2706568629	0.0004108861235	-0.00706709569	0.06025459132	-0.2315290519	-0.02213776492	-0.00209496007	-0.04738165527	-0.1925186489	0.0974282837	-0.0005471869656	-0.0001270408207	0.1320882999	-0.03723882169	9.610196989e-05	0.02569423976	-0.5610634559	-0.01589617645	1.110835252e-06	-0.006442979399	-0.1485786785
Cell_71	-0.001816790387	-0.6704256485	-0.1129276372	0.04836546152	-4.432910764e-05	-0.000177634454	0.004590575195	-0.03596901248	0.1787856992	-0.007345853531	-0.001604894939	0.02062038364	0.4733546648	-1.67947418e-05	0.06840788983	-0.0001274770482	-0.0009330935264	-0.005983493953	0.02647788394	-6.194360072e-05	-0.07012142601	0.5060108819	0.1636481175	-6.593911325e-05	-0.6255088696	-0.4829670228	0.001031613924	0.05084648344	0.281596466	-0.01074759145	0.05822961334	-0.473316584	-0.4019030863	-0.1899020257	0.2855315467	-0.06358886667	-0.03862341971	0.03252121184	0.01173143019	0.09107546436	9.635773297e-05	-0.001491221036	-0.005487033349	-9.125771249e-05	-0.003147387347	0.0685737441	0.010574294	-9.884762107e-05	0.813813134	-0.1214911353
Cell_72	-0.01114852966	-0.02201342398	0.003970138908	0.001515260101	-0.0001532566487	1.755623182e-05	0.00248090553	0.0009081911642	0.005967030497	-0.0001612897009	-0.02102325322	0.0002629257226	0.01556290153	-2.709959731e-05	0.002304968027	9.478608948e-05	6.045468361e-05	-0.0002652626853	0.0008310963087	-7.228664511e-05	-0.002289633049	-0.01305369352	0.9736787197	-3.451215723e-05	-0.0204164039	-0.01625137215	0.01419074629	0.001920111023	0.009337522856	-0.0001503280704	0.001864947014	-0.01536741659	0.01551944489	-0.006572344748	0.01213503285	-0.3787311853	-0.001321411514	0.02914234404	0.01083037229	0.003020465079	9.71905652e-05	0.0002285243156	-0.0002183362429	-4.436623048e-05	-0.0001010201494	0.002731609321	0.0003686694772	2.703187032e-05	0.02650473095	-0.004307190251
Cell_73	0.01724088409	0.01026311948	0.0609318815	0.08889806011	-5.825673265e-05	-0.0001754474465	0.0244701	0.42688774	1.645363841	0.04742804304	0.041211038	0.5164613673	-0.1952463108	4.595624428e-05	0.125638477	7.566706225e-05	0.006011580543	-0.03240038964	-0.09476140872	2.510202686e-05	0.2176352573	0.001906054424	-0.005923072012	2.892297394	-0.002039073406	0.2317376109	-0.02751747555	0.2771735093	2.64532695	-0.2741182977	-0.0003801828023	0.007201456697	-0.05510293943	0.2343300648	0.5744304806	0.002311407023	0.04795337081	0.1110852814	-0.06441999822	0.0006368038207	-3.774965884e-05	-0.1432229702	0.03511659014	-0.0001168324867	-0.01719255635	0.3734567606	-0.05308782926	0.0001321376231	0.006454435856	0.1503329849
Cell_74	0.002270190401	0.7533549384	-0.1384148754	-0.03171339937	8.414782687e-05	-7.452515907e-05	-0.00621211388	0.4414645219	-0.05973594134	0.007819156661	0.002416403691	-0.0133293038	-0.4867933305	-6.168026997e-05	-0.04460611818	9.262443456e-05	0.0009807550962	0.007914085929	-0.02556646915	-4.388103268e-05	0.07916878117	0.4463682021	-0.1845356899	0.0001072454382	0.7057804465	-0.371145968	-0.00161405246	-0.06701231252	-0.09207168691	0.007076291805	-0.06565321451	0.5318390792	0.4511822674	0.1578060841	0.2206176657	0.07164656676	0.0320887754	-0.04349091882	0.04307247301	-0.1028300463	-2.072020622e-05	-0.001830348164	0.00577821334	-6.153469204e-05	0.00419150985	-0.09035578721	-0.01167342539	0.0001462520058	0.6470373313	0.1008035599
Cell_75	-0.0004099341029	-0.0003973896398	-0.001693914762	-0.01316876475	-7.619873948e-05	-9.050541072e-06	0.0005482470628	0.0001945570102	-0.1700183064	-0.004402807157	-0.0007157123322	-0.008810539637	0.003627426086	-0.0001458552041	-0.01868765909	-5.378226713e-05	-0.0004462488477	-0.00105573199	0.006530578065	0.0001047257856	-7.989569148e-05	0.0001538077732	0.0002292800394	1.378685185e-05	-0.0002757070806	1.093577187	0.0003800642559	0.007931774017	-0.2727263557	0.004544862616	5.395760879e-05	-0.0001973687775	0.0004945802426	-0.004077827129	0.0005985545489	-1.634755224e-05	-0.0008401827824	0.005710885876	-0.4978208156	1.544127676e-05	6.138057045e-05	0.003897500691	-0.003334273605	-1.039493083e-05	-0.0003928272939	0.01074284658	0.003625412672	0.0001570209805	0.0003146156889	-0.00260597383
Cell_76	0.0003054871007	0.08004168638	-0.01467831699	-0.005927895484	4.963079687e-05	-6.016252181e-06	-0.000704362948	0.004326927989	-0.02142778805	0.0009092955546	0.0001954755543	-0.00095696226	-0.05695358489	-0.0001130509542	-0.008337029906	-2.18135088e-05	0.0002337937748	0.0009500435704	-0.003218385519	-5.341231607e-06	0.008331187344	0.04743077646	-0.01948236445	-0.0001604378596	0.0746867653	0.05841272033	0.8347571456	-0.007315446373	-0.03357354086	0.0005339976546	-0.007074116642	0.05642845569	2.483349384	0.02320081321	-0.03398965813	0.007719771673	0.004748696796	-0.004761684828	-0.03891690815	-0.01076371803	4.280109971e-05	-0.000477380196	0.0007036637921	7.160576799e-06	0.0004219309002	-0.009817194858	-0.001330134574	-9.033986917e-05	-0.09703732403	0.01495350818
Cell_77	-0.01852742388	-0.006807638054	-0.06494614862	0.04083200839	5.404013363e-05	6.332741043e-05	0.0393122898	0.01095203429	0.03685931104	-0.01230774316	-0.02312435261	-0.4164918428	0.1562434023	7.842009161e-05	0.05764857294	7.788827767e-06	-0.001535240343	-0.04602718943	0.02939019293	7.732917992e-07	9.138428932e-05	-0.003588510648	0.00431729625	-2.527006263e-05	0.003042305599	-0.2524048083	0.01550007877	0.3928901062	0.05361603781	0.2209526832	-0.0001582938655	-0.004715238221	0.02058636225	-0.1885330625	0.02323508766	-0.001764641724	-0.03848431172	0.2661039496	0.08251998703	-0.0007150543126	-1.671569895e-05	0.1537339742	-0.009094498621	-6.189637008e-05	-0.02427197826	0.5292983211	0.009927656698	-6.472047415e-05	-0.006955731207	-0.1207103222
Cell_78	0.0003701229717	0.001619629927	0.001738666727	0.06061619182	-2.125183581e-06	-3.825582796e-05	0.0008674816363	0.0003770884137	0.004058414649	0.01793380274	0.0007932751954	0.002042024292	-0.001894841039	1.757696574e-06	0.0859086454	-3.103382174e-05	0.002418121687	0.0002177161111	-0.02579823813	-1.35192407e-05	0.0004986768619	-0.001005027634	-0.0003977792809	2.628640279e-05	0.00141146198	0.002371320787	-0.0005267332835	-0.0008111804774	1.184507699	-0.001081913708	-0.0003048927332	0.001019947728	-0.0001594135426	0.001382208328	-0.0002533705013	0.0001380431652	0.000280956631	-0.001491919882	-0.0004266438663	-0.0001230490001	-7.968560364e-05	-0.00345003553	0.01340662138	0.000188806453	3.608888496e-05	-0.001057811968	-0.01497514127	-4.847186445e-05	-0.001790472758	0.0008420956321
Cell_79	-0.07376783265	0.006499902066	-0.2635168241	0.01251949512	2.620248418e-05	0.0005151619465	0.01456952301	0.01333273093	0.1790446361	0.005318404912	-0.1407355227	0.02254448945	-0.01303976704	1.151587555e-05	0.01758951816	-1.128649026e-05	0.000655314234	0.002451671625	-0.008136610585	-4.446232449e-06	0.0007000608596	0.003485831703	0.02367598642	-5.86684692e-05	0.005619986592	-1.156518015	0.09389457592	-0.02165108936	0.287312253	1.087748892	-0.0007027594137	0.004698593397	0.1970044785	0.01217391877	0.01454886388	-0.009222732592	0.00185389907	0.1742499083	0.5262264101	-0.0008672694824	-0.0001077088346	0.6119938795	0.003924258715	-0.0001330523113	0.001382876477	-0.02919683972	-0.00429332456	-1.185509638e-05	-0.007017122831	0.006128963727
Cell_80	0.02365163788	0.0252278852	-0.02567223152	-0.05170917939	-5.257785221e-05	-0.0002256521368	0.0352199208	0.01547713449	-0.05773629939	0.049968922	0.05737469482	0.5092718633	-0.2034385848	6.462956995e-06	-0.07329678615	-7.815959213e-06	0.00647997972	-0.04769123974	-0.03617343083	9.563879959e-05	-0.8651437301	0.01051113541	-0.6783853934	0.0001018969397	0.01214541232	0.3146472418	-0.03836049979	0.4075912867	-0.08547334282	-0.2701490797	0.7197448226	0.01786834558	-0.07048921833	0.2357103746	0.01334024755	0.2637833458	0.04812109498	0.1679194527	-0.1048096118	-0.3748076679	-8.194916205e-05	-0.1324426667	0.03692342825	-3.467786732e-05	-0.02523469306	0.5491490032	0.01549641868	-4.623000892e-06	-0.0119418336	0.1513143482
Cell_81	-0.006090956824	0.1596362779	-0.05533874682	0.1364428647	5.441954434e-05	-1.116794223e-05	0.007391197273	0.08521569396	-0.1981655364	-0.05299833149	-0.008670608393	-0.1359163534	-0.05601606168	-1.383685239e-05	0.1926075419	-1.741965703e-05	-0.006893035557	-0.01180087146	0.1193314382	-2.674550166e-05	0.02022446274	0.09637339665	-0.04721784596	4.17859086e-06	0.1875690265	-0.1971204156	0.005881553588	0.1009465329	-0.3402124132	0.07209239354	-0.01692152656	0.9471437915	0.8173239439	-0.7173170123	0.03705206929	0.01848653938	-0.1462872883	0.072050879	-0.07082758876	-0.02765926306	-0.0001203350972	0.05596059859	-0.03926486608	-3.941605702e-05	-0.006198451327	0.136045174	0.04217920609	2.351712448e-05	0.09038926457	-0.4587081068
Cell_82	0.0003803549117	0.1050250044	-0.01911285457	-0.007756325284	5.438801823e-05	0.0001691260519	-0.0009578721141	0.00564766944	-0.02817373287	0.001197312703	0.0001196454025	-0.001415758599	-0.07480621917	-6.214071788e-05	-0.01093693461	4.235262458e-05	0.0001639197928	0.001192498447	-0.004419551265	3.043193758e-05	0.01098466683	0.06213638044	-0.02556872758	6.566321848e-05	0.09788505348	0.07663015827	-0.0003129462035	-0.009733947145	-0.04425689292	0.0008273636461	-0.009129572281	0.07417922985	3.25671811	0.03071167963	-0.04485526634	0.009963135879	0.006154215148	-0.006227658753	-0.05062741147	-0.01429969527	7.519523281e-05	-0.0004346379575	0.000810393612	9.477906587e-06	0.0006561833608	-0.01311452951	-0.001884960915	-1.660540637e-05	-0.1271838138	0.01958394629
Cell_83	0.01044955117	0.04986764015	0.03122446368	-0.2527225081	-1.598686693e-05	-5.277436667e-06	-0.01364754707	0.02303589753	-0.01761357626	0.08697170631	0.01447250338	0.2050360232	-0.1073542955	-5.485725096e-05	-0.3575353424	6.667780247e-05	0.01102515603	0.02133482491	-0.202710142	-0.0001178826724	-0.0008389952189	0.02703065353	0.001275801797	3.943395648e-05	-0.01628749588	0.2101382121	-0.009430838022	-0.1817143975	0.008637886037	-0.1086910366	0.0005304811997	0.0351945728	0.01351669232	1.255892821	0.003970665201	-0.0006300296697	0.256231735	-0.128188418	0.118041516	0.002869430282	-1.111102701e-05	-0.08785069918	0.06461744608	-0.0001063514098	0.0112323905	-0.244963599	-0.07172969095	-6.838615266e-05	0.04088022829	0.8032609175
Cell_84	0.0002133327481	0.0001084249049	0.0001690940579	0.001113386918	3.62106313e-05	0.0001642442448	-6.99804236e-05	0.5412167368	0.01550541304	0.0004483514877	3.181536388e-05	0.0008393676535	-0.0002419561085	1.126439356e-05	0.001710392819	-0.0001217020745	3.928653202e-05	6.305199577e-05	-0.0007279900467	-3.831444751e-05	8.745060553e-05	6.04822163e-05	-0.0001540172342	-1.95321513e-05	-1.069236034e-05	-0.09943880756	5.29620783e-06	-0.0006496970636	0.02474185983	-0.0004549753203	-8.556977625e-05	4.595514295e-05	-2.85094837e-06	0.0003536851227	0.7302747688	7.280167345e-05	6.73821429e-05	-0.0004351589209	0.04509272628	-8.647051466e-05	-8.10992505e-05	-0.0004251335776	0.0001588172909	5.313034089e-05	7.049693827e-05	-0.0009675961232	-0.0003383310589	-9.631706837e-05	-1.660209349e-05	0.0002756063214
