Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
GENIE3,10,No,smallworld,No,0.698645712217979,0.29971625878745234,0.35460992907801414
GENIE3,10,No,smallworld,Yes,0.4997786631252767,-0.006533821682366959,0.1426962072850169
GENIE3,10,yes,smallworld,No,0.6867945461124612,0.26422041587445505,0.33220338983050846
TIGRESS,10,No,smallworld,No,0.6038804670667263,0.17034131544567407,0.23796791443850268
TIGRESS,10,No,smallworld,Yes,0.5025706303417037,0.00983479799592114,0.14886418559690673
TIGRESS,10,yes,smallworld,No,0.5975388441623087,0.09471131319801653,0.2107317073170732
Lasso,10,No,smallworld,No,0.6847375608759945,0.2116547784163395,0.27680311890838205
Lasso,10,No,smallworld,Yes,0.5343084432337619,0.05519883721949245,0.17934347477982385
Lasso,10,yes,smallworld,No,0.4795423839139686,-0.21263672882217907,0.14489489489489488
LSCO,10,No,smallworld,No,0.6790305788484295,0.20288074171716633,0.2447026657552973
LSCO,10,No,smallworld,Yes,0.5183288935565802,0.02503593035625408,0.1800424628450106
LSCO,10,yes,smallworld,No,0.5180125480671929,0.009824348032780929,0.15228915662650602
CLR,10,No,smallworld,No,0.5772922284761992,0.18757803785132263,0.21818181818181817
CLR,10,No,smallworld,Yes,0.4995569339831635,-0.009284449066508585,0.14561196379378197
CLR,10,yes,smallworld,No,0.5890106864605955,0.14985550617143426,0.20058422590068156
GENIE3,10,No,smallworld,No,0.6711757294635253,0.268714281594698,0.326530612244898
GENIE3,10,No,smallworld,Yes,0.49977846699158174,-0.006563783218279171,0.14478619654913727
GENIE3,10,yes,smallworld,No,0.665229892916596,0.22304723570572138,0.30659025787965616
TIGRESS,10,No,smallworld,No,0.6131276996486468,0.2342056187461669,0.24761904761904763
TIGRESS,10,No,smallworld,Yes,0.49376699103475064,-0.02432689989550153,0.14205607476635512
TIGRESS,10,yes,smallworld,No,0.6346401045854597,0.14204385209704498,0.24476295479603088
Lasso,10,No,smallworld_scalefree,No,0.7639041270164368,0.18564831957531913,0.2535885167464115
